region,island,deployment_year,recovery_year,depth,lat,lon,unit,sample,count,species,family,genus,taxon_level
main,OAH,2009,2011,12,21.28865,-157.86542,2011_OAH_ARMS_G01_G,OAH_SUC_436,5,Carupa_tenuipes,Portunidae,Carupa,species
main,OAH,2009,2011,12,21.28865,-157.86542,2011_OAH_ARMS_G01_G,OAH_SUC_435,2,Dynomene_hispida,Dynomenidae,Dynomene,species
main,OAH,2009,2011,12,21.28865,-157.86542,2011_OAH_ARMS_G01_G,OAH_SUC_445,1,Tweedieia_laysani,Xanthidae,Tweedieia,species
main,OAH,2009,2011,12,21.28865,-157.86542,2011_OAH_ARMS_G01_G,OAH_SUC_437,1,Xanthias_latifrons,Xanthidae,Xanthias,species
main,OAH,2009,2011,12,21.28865,-157.86542,2011_OAH_ARMS_G01_H,OAH_SUC_502,2,Selwynia_sp502,Aphanodactylidae,Selwynia,morphospecies
main,OAH,2009,2011,12,21.28865,-157.86542,2011_OAH_ARMS_G01_H,OAH_SUC_495,1,Carupa_tenuipes,Portunidae,Carupa,species
main,OAH,2009,2011,12,21.28865,-157.86542,2011_OAH_ARMS_G01_H,OAH_SUC_494,2,Dynomene_hispida,Dynomenidae,Dynomene,species
main,OAH,2009,2011,12,21.28865,-157.86542,2011_OAH_ARMS_G01_H,OAH_SUC_497,1,Garthiella_aberrans,Xanthidae,Garthiella,species
main,OAH,2009,2011,12,21.28865,-157.86542,2011_OAH_ARMS_G01_H,OAH_SUC_499,5,Perinia_tumida,Epialtidae,Perinia,species
main,OAH,2009,2011,12,21.28865,-157.86542,2011_OAH_ARMS_G01_H,OAH_SUC_501,1,Pilumnus_oahuensis,Pilumnidae,Pilumnus,species
main,OAH,2009,2011,12,21.28865,-157.86542,2011_OAH_ARMS_G01_H,OAH_SUC_496,1,Pilumnus_taeniola,Pilumnidae,Pilumnus,species
main,OAH,2009,2011,12,21.28865,-157.86542,2011_OAH_ARMS_G01_H,OAH_SUC_493,1,Xanthias_latifrons,Xanthidae,Xanthias,species
main,OAH,2009,2011,12,21.28865,-157.86542,2011_OAH_ARMS_G01_I,OAH_SUC_544,1,Carupa_tenuipes,Portunidae,Carupa,species
main,OAH,2009,2011,12,21.28865,-157.86542,2011_OAH_ARMS_G01_I,OAH_SUC_550,1,Carupa_tenuipes,Portunidae,Carupa,species
main,OAH,2009,2011,12,21.28865,-157.86542,2011_OAH_ARMS_G01_I,OAH_SUC_542,1,Charybdis_(Charybdis)_hawaiensis,Portunidae,Charybdis,species
main,OAH,2009,2011,12,21.28865,-157.86542,2011_OAH_ARMS_G01_I,OAH_SUC_553,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
main,OAH,2009,2011,12,21.28865,-157.86542,2011_OAH_ARMS_G01_I,OAH_SUC_546,1,Dynomene_hispida,Dynomenidae,Dynomene,species
main,OAH,2009,2011,12,21.28865,-157.86542,2011_OAH_ARMS_G01_I,OAH_SUC_551,1,Olenothus_sp904,Xanthidae,Olenothus,species
main,OAH,2009,2011,12,21.28865,-157.86542,2011_OAH_ARMS_G01_I,OAH_SUC_547,1,Pilumnus_oahuensis,Pilumnidae,Pilumnus,species
main,OAH,2009,2011,12,21.28865,-157.86542,2011_OAH_ARMS_G01_I,OAH_SUC_545,1,Pilumnus_taeniola,Pilumnidae,Pilumnus,species
main,OAH,2009,2011,12,21.28865,-157.86542,2011_OAH_ARMS_G01_I,OAH_SUC_539,2,Xanthias_latifrons,Xanthidae,Xanthias,species
main,OAH,2009,2011,12,21.28875,-157.86555,2011_OAH_ARMS_G02_C,OAH_SUC_247,1,Carupa_tenuipes,Portunidae,Carupa,species
main,OAH,2009,2011,12,21.28875,-157.86555,2011_OAH_ARMS_G02_C,OAH_SUC_261,1,Lambrachaeus_ramifer,Parthenopidae,Lambrachaeus,species
main,OAH,2009,2011,12,21.28875,-157.86555,2011_OAH_ARMS_G02_C,OAH_SUC_265,1,Olenothus_sp904,Xanthidae,Olenothus,species
main,OAH,2009,2011,12,21.28875,-157.86555,2011_OAH_ARMS_G02_C,OAH_SUC_257,1,Pilumnus_acutifron,Pilumnidae,Pilumnus,species
main,OAH,2009,2011,12,21.28875,-157.86555,2011_OAH_ARMS_G02_C,OAH_SUC_258,2,Pilumnus_acutifron,Pilumnidae,Pilumnus,species
main,OAH,2009,2011,12,21.28875,-157.86555,2011_OAH_ARMS_G02_C,OAH_SUC_259,1,Pilumnus_nuttingi,Pilumnidae,Pilumnus,species
main,OAH,2009,2011,12,21.28875,-157.86555,2011_OAH_ARMS_G02_E,OAH_SUC_303,1,Carupa_tenuipes,Portunidae,Carupa,species
main,OAH,2009,2011,12,21.28875,-157.86555,2011_OAH_ARMS_G02_E,OAH_SUC_308,1,Carupa_tenuipes,Portunidae,Carupa,species
main,OAH,2009,2011,12,21.28875,-157.86555,2011_OAH_ARMS_G02_E,OAH_SUC_308,1,Carupa_tenuipes,Portunidae,Carupa,species
main,OAH,2009,2011,12,21.28875,-157.86555,2011_OAH_ARMS_G02_E,OAH_SUC_302,1,Dynomene_hispida,Dynomenidae,Dynomene,species
main,OAH,2009,2011,12,21.28875,-157.86555,2011_OAH_ARMS_G02_E,OAH_SUC_1314,1,Lybia_edmondsoni,Xanthidae,Lybia,species
main,OAH,2009,2011,12,21.28875,-157.86555,2011_OAH_ARMS_G02_E,OAH_SUC_306,1,Platypodia_semigranosa,Xanthidae,Platypodia,species
main,OAH,2009,2011,12,21.28875,-157.86555,2011_OAH_ARMS_G02_F,OAH_SUC_356,2,Dynomene_hispida,Dynomenidae,Dynomene,species
main,OAH,2009,2011,12,21.28875,-157.86555,2011_OAH_ARMS_G02_F,OAH_SUC_363,2,Leucosiidae_sp595,Leucosiidae,,morphospecies
main,OAH,2009,2011,12,21.28875,-157.86555,2011_OAH_ARMS_G02_F,OAH_SUC_376,1,Perinia_tumida,Epialtidae,Perinia,species
main,OAH,2009,2011,12,21.28875,-157.86555,2011_OAH_ARMS_G02_F,OAH_SUC_359,1,Xanthias_latifrons,Xanthidae,Xanthias,species
main,OAH,2009,2011,12,21.28836,-157.8656,2011_OAH_ARMS_G03_A,OAH_SUC_117,1,Carupa_tenuipes,Portunidae,Carupa,species
main,OAH,2009,2011,12,21.28836,-157.8656,2011_OAH_ARMS_G03_A,OAH_SUC_109,8,Dynomene_hispida,Dynomenidae,Dynomene,species
main,OAH,2009,2011,12,21.28836,-157.8656,2011_OAH_ARMS_G03_A,OAH_SUC_121,1,Epiactaea_nodulosa,Xanthidae,Epiactaea,species
main,OAH,2009,2011,12,21.28836,-157.8656,2011_OAH_ARMS_G03_A,OAH_SUC_119,1,Pilumnus_oahuensis,Pilumnidae,Pilumnus,species
