unit,Carupa_tenuipes,Dynomene_hispida,Tweedieia_laysani,Xanthias_latifrons,Aphanodactylus_sp502,Garthiella_aberrans,Perinia_tumida,Pilumnus_oahuensis,Viaderiana_taeniola,Charybdis_(Charybdis)_hawaiensis,Chlorodiella_sp2,Olenothus_sp904,Lambrachaeus_ramifer,Pilumnus_acutifron,Pilumnus_nuttingi,Lybia_edmondsoni,Platypodia_semigranosa,Leucosiidae_sp595,Epiactaea_nodulosa,Thalamitoides_quadridens,Hypselodoris_violabranchia,Liocarpilodes_integerrimus,Liomera_rubra,Paractaea_rufopunctata,Achaeus_sp1023,Catoptrus_inequalis,Cryptodromiopsis_tridens,Exopalicus_maculatus,Laleonectes_nipponensis,Leucosiidae_sp146,Liomera_bella,Medaeus_ornatus,Pilodius_sp903,Pilumnus_acutifrons,Pseudoliomera_variolosa,Thalamita_dakini,Hyastenus_sp1050,Chlorodiella_laevissima,Liomera_medipacifica,Pilumnus_sp2018,Liomera_tristis,Lophozozymus_dodone,Hyastenus_sp2074,Thalamita_seurati,Daldorfia_dimorpha,Pilumnus_sp2010,Schizophroida_hilensis,Paramedaeus_simplex,Heteronucia_spinifera,Parapilumnus_sp2049,Simocarcinus_simplex,Thalamita_sp2042,Thalamita_picta,Dromiidae_sp3061,Percnon_abbreviatum,Charybdis_Charybdis_hawaiensis,Medaeus_elegans,Schizophrys_aspera,Xanthias_canaliculatus,Actaeomorpha_erosa,Lupocyclus_quinquedentatus,Soliella_flava,Catoptrus_inaequalis,Crossotonotus_spinipes,Cyclodius_nitidus,Platypodia_actoeoides,Platypodia_sp768,Liomera_supernodosa,Trapezia_intermedia,Huenia_heraldica,Thalamita_sp448,Menaethius_orientalis,Nucia_speciosa,Gaillardiellus_superciliaris,Juxtaxanthias_intonsus,Liomera_crucifera,Polydectus_cupulifer,Gonioinfradens_paucidentatus,Chlorodiella_sp3,Chlorodiella_sp4,Echinoecus_pentagonus,Platypodia_sp821,Menaethius_monocerus,Pilodius_areolatus,Thalamita_admete,Xanthidae_sp182,Xanthias_lamarcki,Actaeodes_hirsutissimus,Grapsidae_sp785,Lophozozymus_pulchellus,Cryptochiridae_sp1256,Aethra_edentata,Xanthidae_sp1076,Palmyria_palmyrensis,Pilumnidae_sp1117,Leucosiidae_sp1165,Jacforus_cavatus,Xanthidae_sp1044,Calappidae_sp1107,Trapezia_flavopunctata,Xanthidae_sp1105,Menaethius_monoceros,Micippa_sp1400
2011_OAH_ARMS_G01_G,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011_OAH_ARMS_G01_H,1,2,0,1,2,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011_OAH_ARMS_G01_I,2,1,0,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011_OAH_ARMS_G02_C,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011_OAH_ARMS_G02_E,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011_OAH_ARMS_G02_F,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011_OAH_ARMS_G03_A,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011_OAH_ARMS_G03_B,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011_OAH_ARMS_G03_D,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012_MCE_30_A,0,0,0,0,0,0,0,6,1,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
