unit,island,region,island_group,deployment_year,recovery_year,soak_time,depth,depth_zone,lat,lon,slope,coral_cover,closest_island,larval_immigration,sample_group,shallow_deep,radius,chl,sst,chl_radius,sst_radius,impact_radius,human_impact,cumulative_impacts
2011_OAH_ARMS_G01_G,Oahu,main,main,2009,2011,2,12,shallow,21.28865,-157.86542,4.7619,0.142110959,111,0.058619,shallow_main,shallow,10,0.11297508080800374,25.615277608235676,0,0,0,2.305041487400348,4.307464122772217
2011_OAH_ARMS_G01_H,Oahu,main,main,2009,2011,2,12,shallow,21.28865,-157.86542,4.7619,0.142110959,111,0.058619,shallow_main,shallow,10,0.11297508080800374,25.615277608235676,0,0,0,2.305041487400348,4.307464122772217
2011_OAH_ARMS_G01_I,Oahu,main,main,2009,2011,2,12,shallow,21.28865,-157.86542,4.7619,0.142110959,111,0.058619,shallow_main,shallow,10,0.11297508080800374,25.615277608235676,0,0,0,2.305041487400348,4.307464122772217
2011_OAH_ARMS_G02_C,Oahu,main,main,2009,2011,2,12,shallow,21.28875,-157.86555,4.7619,0.142110959,111,0.058619,shallow_main,shallow,10,0.11297508080800374,25.615277608235676,0,0,0,2.305041487400348,4.307464122772217
2011_OAH_ARMS_G02_E,Oahu,main,main,2009,2011,2,12,shallow,21.28875,-157.86555,4.7619,0.142110959,111,0.058619,shallow_main,shallow,10,0.11297508080800374,25.615277608235676,0,0,0,2.305041487400348,4.307464122772217
2011_OAH_ARMS_G02_F,Oahu,main,main,2009,2011,2,12,shallow,21.28875,-157.86555,4.7619,0.142110959,111,0.058619,shallow_main,shallow,10,0.11297508080800374,25.615277608235676,0,0,0,2.305041487400348,4.307464122772217
2011_OAH_ARMS_G03_A,Oahu,main,main,2009,2011,2,12,shallow,21.28836,-157.8656,4.7619,0.142110959,111,0.058619,shallow_main,shallow,10,0.11297508080800374,25.615277608235676,0,0,0,2.305041487400348,4.307464122772217
2011_OAH_ARMS_G03_B,Oahu,main,main,2009,2011,2,12,shallow,21.28836,-157.8656,4.7619,0.142110959,111,0.058619,shallow_main,shallow,10,0.11297508080800374,25.615277608235676,0,0,0,2.305041487400348,4.307464122772217
2011_OAH_ARMS_G03_D,Oahu,main,main,2009,2011,2,12,shallow,21.28836,-157.8656,4.7619,0.142110959,111,0.058619,shallow_main,shallow,10,0.11297508080800374,25.615277608235676,0,0,0,2.305041487400348,4.307464122772217
2012_MCE_30_A,Oahu,mce,main,2010,2012,2,30,30m,21.284433,-157.868683,NA,NA,NA,NA,30m,deep,10,0.11559720834096272,25.459027608235676,0,0,0,2.305041487400348,1.4902225732803345
2012_MCE_30_B,Oahu,mce,main,2010,2012,2,30,30m,21.284433,-157.868683,NA,NA,NA,NA,30m,deep,10,0.11559720834096272,25.459027608235676,0,0,0,2.305041487400348,1.4902225732803345
2012_MCE_30_C,Oahu,mce,main,2010,2012,2,30,30m,21.284433,-157.868683,NA,NA,NA,NA,30m,deep,10,0.11559720834096272,25.459027608235676,0,0,0,2.305041487400348,1.4902225732803345
2012_MCE_30_D,Oahu,mce,main,2010,2012,2,30,30m,21.284433,-157.868683,NA,NA,NA,NA,30m,deep,10,0.11559720834096272,25.459027608235676,0,0,0,2.305041487400348,1.4902225732803345
2012_MCE_30_E,Oahu,mce,main,2010,2012,2,30,30m,21.284433,-157.868683,NA,NA,NA,NA,30m,deep,10,0.11559720834096272,25.459027608235676,0,0,0,2.305041487400348,1.4902225732803345
2012_MCE_30_F,Oahu,mce,main,2010,2012,2,30,30m,21.284433,-157.868683,NA,NA,NA,NA,30m,deep,10,0.11559720834096272,25.459027608235676,0,0,0,2.305041487400348,1.4902225732803345
2012_MCE_60_A,Oahu,mce,main,2010,2012,2,60,60m,21.26775,-157.848867,NA,NA,NA,NA,60m,deep,10,0.11559720834096272,25.459027608235676,0,0,0,2.305041487400348,1.3322057723999023
2012_MCE_60_B,Oahu,mce,main,2010,2012,2,60,60m,21.26775,-157.848867,NA,NA,NA,NA,60m,deep,10,0.11559720834096272,25.459027608235676,0,0,0,2.305041487400348,1.3322057723999023
2012_MCE_60_C,Oahu,mce,main,2010,2012,2,60,60m,21.26775,-157.848867,NA,NA,NA,NA,60m,deep,10,0.11559720834096272,25.459027608235676,0,0,0,2.305041487400348,1.3322057723999023
2012_MCE_60_D,Oahu,mce,main,2010,2012,2,60,60m,21.26775,-157.848867,NA,NA,NA,NA,60m,deep,10,0.11559720834096272,25.459027608235676,0,0,0,2.305041487400348,1.3322057723999023
2012_MCE_60_E,Oahu,mce,main,2010,2012,2,60,60m,21.26775,-157.848867,NA,NA,NA,NA,60m,deep,10,0.11559720834096272,25.459027608235676,0,0,0,2.305041487400348,1.3322057723999023
2012_MCE_60_F,Oahu,mce,main,2010,2012,2,60,60m,21.26775,-157.848867,NA,NA,NA,NA,60m,deep,10,0.11559720834096272,25.459027608235676,0,0,0,2.305041487400348,1.3322057723999023
2012_MCE_90_A,Oahu,mce,main,2010,2012,2,90,90m,21.265817,-157.851617,NA,NA,NA,NA,90m,deep,10,0.11559720834096272,25.459027608235676,0,0,0,2.305041487400348,1.3322057723999023
2012_MCE_90_B,Oahu,mce,main,2010,2012,2,90,90m,21.265817,-157.851617,NA,NA,NA,NA,90m,deep,10,0.11559720834096272,25.459027608235676,0,0,0,2.305041487400348,1.3322057723999023
2012_MCE_90_C,Oahu,mce,main,2010,2012,2,90,90m,21.265817,-157.851617,NA,NA,NA,NA,90m,deep,10,0.11559720834096272,25.459027608235676,0,0,0,2.305041487400348,1.3322057723999023
2012_MCE_90_D,Oahu,mce,main,2010,2012,2,90,90m,21.265817,-157.851617,NA,NA,NA,NA,90m,deep,10,0.11559720834096272,25.459027608235676,0,0,0,2.305041487400348,1.3322057723999023
2012_MCE_90_E,Oahu,mce,main,2010,2012,2,90,90m,21.265817,-157.851617,NA,NA,NA,NA,90m,deep,10,0.11559720834096272,25.459027608235676,0,0,0,2.305041487400348,1.3322057723999023
2012_MCE_90_F,Oahu,mce,main,2010,2012,2,90,90m,21.265817,-157.851617,NA,NA,NA,NA,90m,deep,10,0.11559720834096272,25.459027608235676,0,0,0,2.305041487400348,1.3322057723999023
2013_FFS_12_A,French Frigate Shoals,northwest,northwest,2010,2013,3,12,shallow,23.63835,-166.18005,3.4483,0.11566092,160,0.087275,shallow_nwhi,shallow,10,0.36992722004652023,25.30791664123535,0,0,0,0.9248853759332136,0.9528806805610657
2013_FFS_12_B,French Frigate Shoals,northwest,northwest,2010,2013,3,12,shallow,23.63835,-166.18005,3.4483,0.11566092,160,0.087275,shallow_nwhi,shallow,10,0.36992722004652023,25.30791664123535,0,0,0,0.9248853759332136,0.9528806805610657
2013_FFS_12_C,French Frigate Shoals,northwest,northwest,2010,2013,3,12,shallow,23.63835,-166.18005,3.4483,0.11566092,160,0.087275,shallow_nwhi,shallow,10,0.36992722004652023,25.30791664123535,0,0,0,0.9248853759332136,0.9528806805610657
2013_FFS_32_A,French Frigate Shoals,northwest,northwest,2010,2013,3,8,shallow,23.8061,-166.230633,0.3277,0.11566092,160,0.087275,shallow_nwhi,shallow,10,0.511899933218956,25.37281179428101,0,0,0,0.9248853759332136,1.0006836652755737
2013_FFS_32_B,French Frigate Shoals,northwest,northwest,2010,2013,3,8,shallow,23.8061,-166.230633,0.3277,0.11566092,160,0.087275,shallow_nwhi,shallow,10,0.511899933218956,25.37281179428101,0,0,0,0.9248853759332136,1.0006836652755737
2013_FFS_32_C,French Frigate Shoals,northwest,northwest,2010,2013,3,8,shallow,23.8061,-166.230633,0.3277,0.11566092,160,0.087275,shallow_nwhi,shallow,10,0.511899933218956,25.37281179428101,0,0,0,0.9248853759332136,1.0006836652755737
2013_FFS_33_A,French Frigate Shoals,northwest,northwest,2010,2013,3,9,shallow,23.836467,-166.266833,0.6024,0.11566092,160,0.087275,shallow_nwhi,shallow,10,0.4899766147136688,25.401978492736816,0,0,0,0.9248853759332136,1.1054284572601318
2013_FFS_33_B,French Frigate Shoals,northwest,northwest,2010,2013,3,9,shallow,23.836467,-166.266833,0.6024,0.11566092,160,0.087275,shallow_nwhi,shallow,10,0.4899766147136688,25.401978492736816,0,0,0,0.9248853759332136,1.1054284572601318
2013_FFS_33_C,French Frigate Shoals,northwest,northwest,2010,2013,3,9,shallow,23.836467,-166.266833,0.6024,0.11566092,160,0.087275,shallow_nwhi,shallow,10,0.4899766147136688,25.401978492736816,0,0,0,0.9248853759332136,1.1054284572601318
2013_FFS_34_A,French Frigate Shoals,northwest,northwest,2010,2013,3,10,shallow,23.62792,-166.13538,2.1368,0.11566092,160,0.087275,shallow_nwhi,shallow,10,0.4876721799373626,25.312082767486572,0,0,0,0.9248853759332136,0.9539127349853516
2013_FFS_34_B,French Frigate Shoals,northwest,northwest,2010,2013,3,10,shallow,23.62792,-166.13538,2.1368,0.11566092,160,0.087275,shallow_nwhi,shallow,10,0.4876721799373626,25.312082767486572,0,0,0,0.9248853759332136,0.9539127349853516
2013_FFS_34_C,French Frigate Shoals,northwest,northwest,2010,2013,3,10,shallow,23.62792,-166.13538,2.1368,0.11566092,160,0.087275,shallow_nwhi,shallow,10,0.4876721799373626,25.312082767486572,0,0,0,0.9248853759332136,0.9539127349853516
2013_FFS_35_A,French Frigate Shoals,northwest,northwest,2010,2013,3,9,shallow,23.790615,-166.232022,0.3621,0.11566092,160,0.087275,shallow_nwhi,shallow,10,0.4247688725590706,25.4101037979126,0,0,0,0.9248853759332136,1.0221234560012817
2013_FFS_35_B,French Frigate Shoals,northwest,northwest,2010,2013,3,9,shallow,23.790615,-166.232022,0.3621,0.11566092,160,0.087275,shallow_nwhi,shallow,10,0.4247688725590706,25.4101037979126,0,0,0,0.9248853759332136,1.0221234560012817
2013_FFS_35_C,French Frigate Shoals,northwest,northwest,2010,2013,3,9,shallow,23.790615,-166.232022,0.3621,0.11566092,160,0.087275,shallow_nwhi,shallow,10,0.4247688725590706,25.4101037979126,0,0,0,0.9248853759332136,1.0221234560012817
2013_HAW_22_A,Hawaii Island,main,main,2010,2013,3,15,shallow,18.96859682,-155.730732,22.7273,0.574070943,155,0.048712,shallow_main,shallow,170,0.0751017015427351,25.39031171798706,0,0,170,1.187947171575883,0.9221823215484619
2013_HAW_22_B,Hawaii Island,main,main,2010,2013,3,15,shallow,18.96859682,-155.730732,22.7273,0.574070943,155,0.048712,shallow_main,shallow,170,0.0751017015427351,25.39031171798706,0,0,170,1.187947171575883,0.9221823215484619
2013_HAW_22_C,Hawaii Island,main,main,2010,2013,3,15,shallow,18.96859682,-155.730732,22.7273,0.574070943,155,0.048712,shallow_main,shallow,170,0.0751017015427351,25.39031171798706,0,0,170,1.187947171575883,0.9221823215484619
2013_HAW_24_A,Hawaii Island,main,main,2010,2013,3,15,shallow,19.03821667,-155.88255,22.7273,0.574070943,155,0.048712,shallow_main,shallow,770,0.06072080507874489,25.801315784454346,0,0,770,1.187947171575883,0.7565848231315613
2013_HAW_24_B,Hawaii Island,main,main,2010,2013,3,15,shallow,19.03821667,-155.88255,22.7273,0.574070943,155,0.048712,shallow_main,shallow,770,0.06072080507874489,25.801315784454346,0,0,770,1.187947171575883,0.7565848231315613
2013_HAW_24_C,Hawaii Island,main,main,2010,2013,3,15,shallow,19.03821667,-155.88255,22.7273,0.574070943,155,0.048712,shallow_main,shallow,770,0.06072080507874489,25.801315784454346,0,0,770,1.187947171575883,0.7565848231315613
2013_KAU_02_A,Kauai,main,main,2010,2013,3,14,shallow,22.16405324,-159.298801,2.0161,0.298612997,68,0.066186,shallow_main,shallow,10,0.1044038701802492,25.108957767486572,0,0,0,1.3833492596944172,1.8033496141433716
2013_KAU_02_B,Kauai,main,main,2010,2013,3,14,shallow,22.16405324,-159.298801,2.0161,0.298612997,68,0.066186,shallow_main,shallow,10,0.1044038701802492,25.108957767486572,0,0,0,1.3833492596944172,1.8033496141433716
2013_KAU_06_A,Kauai,main,main,2010,2013,3,12,shallow,21.8897,-159.6088,4.5872,0.298612997,68,0.066186,shallow_main,shallow,10,0.15182889252901077,25.495103359222412,0,0,0,1.3833492596944172,1.4796252250671387
2013_KAU_06_B,Kauai,main,main,2010,2013,3,12,shallow,21.8897,-159.6088,4.5872,0.298612997,68,0.066186,shallow_main,shallow,10,0.15182889252901077,25.495103359222412,0,0,0,1.3833492596944172,1.4796252250671387
2013_KAU_08_A,Kauai,main,main,2010,2013,3,12,shallow,22.1668,-159.68,2.9412,0.298612997,68,0.066186,shallow_main,shallow,1150,0.20357363671064377,25.39520835876465,0,0,1150,1.3833492596944172,0.8670729398727417
2013_KAU_08_B,Kauai,main,main,2010,2013,3,12,shallow,22.1668,-159.68,2.9412,0.298612997,68,0.066186,shallow_main,shallow,1150,0.20357363671064377,25.39520835876465,0,0,1150,1.3833492596944172,0.8670729398727417
2013_KUR_12_A,Kure Atoll,northwest,northwest,2010,2013,3,10,shallow,28.38238,-178.32452,5.9524,0.025787966,94,0.122923982,shallow_nwhi,shallow,10,0.1140187419950962,23.853020191192627,0,0,0,1.1101435422897339,1.3335195779800415
2013_KUR_12_B,Kure Atoll,northwest,northwest,2010,2013,3,10,shallow,28.38238,-178.32452,5.9524,0.025787966,94,0.122923982,shallow_nwhi,shallow,10,0.1140187419950962,23.853020191192627,0,0,0,1.1101435422897339,1.3335195779800415
2013_KUR_R33_A,Kure Atoll,northwest,northwest,2010,2013,3,14,shallow,28.41678,-178.37842,1.8939,0.025787966,94,0.122923982,shallow_nwhi,shallow,10,0.11265348829329014,23.838749408721924,0,0,0,1.1101435422897339,0.6633914709091187
