Year,Month,CHL,SST
2009,Jan,AQUA_MODIS.20090101_20090131.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20090101_20090131.L3m.MO.SST.sst.4km.nc
2009,Feb,AQUA_MODIS.20090201_20090228.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20090201_20090228.L3m.MO.SST.sst.4km.nc
2009,Mar,AQUA_MODIS.20090301_20090331.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20090301_20090331.L3m.MO.SST.sst.4km.nc
2009,Apr,AQUA_MODIS.20090401_20090430.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20090401_20090430.L3m.MO.SST.sst.4km.nc
2009,May,AQUA_MODIS.20090501_20090531.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20090501_20090531.L3m.MO.SST.sst.4km.nc
2009,Jun,AQUA_MODIS.20090601_20090630.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20090601_20090630.L3m.MO.SST.sst.4km.nc
2009,Jul,AQUA_MODIS.20090701_20090731.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20090701_20090731.L3m.MO.SST.sst.4km.nc
2009,Aug,AQUA_MODIS.20090801_20090831.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20090801_20090831.L3m.MO.SST.sst.4km.nc
2009,Sep,AQUA_MODIS.20090901_20090930.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20090901_20090930.L3m.MO.SST.sst.4km.nc
2009,Oct,AQUA_MODIS.20091001_20091031.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20091001_20091031.L3m.MO.SST.sst.4km.nc
2009,Nov,AQUA_MODIS.20091101_20091130.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20091101_20091130.L3m.MO.SST.sst.4km.nc
2009,Dec,AQUA_MODIS.20091201_20091231.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20091201_20091231.L3m.MO.SST.sst.4km.nc
2010,Jan,AQUA_MODIS.20100101_20100131.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20100101_20100131.L3m.MO.SST.sst.4km.nc
2010,Feb,AQUA_MODIS.20100201_20100228.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20100201_20100228.L3m.MO.SST.sst.4km.nc
2010,Mar,AQUA_MODIS.20100301_20100331.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20100301_20100331.L3m.MO.SST.sst.4km.nc
2010,Apr,AQUA_MODIS.20100401_20100430.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20100401_20100430.L3m.MO.SST.sst.4km.nc
2010,May,AQUA_MODIS.20100501_20100531.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20100501_20100531.L3m.MO.SST.sst.4km.nc
2010,Jun,AQUA_MODIS.20100601_20100630.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20100601_20100630.L3m.MO.SST.sst.4km.nc
2010,Jul,AQUA_MODIS.20100701_20100731.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20100701_20100731.L3m.MO.SST.sst.4km.nc
2010,Aug,AQUA_MODIS.20100801_20100831.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20100801_20100831.L3m.MO.SST.sst.4km.nc
2010,Sep,AQUA_MODIS.20100901_20100930.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20100901_20100930.L3m.MO.SST.sst.4km.nc
2010,Oct,AQUA_MODIS.20101001_20101031.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20101001_20101031.L3m.MO.SST.sst.4km.nc
2010,Nov,AQUA_MODIS.20101101_20101130.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20101101_20101130.L3m.MO.SST.sst.4km.nc
2010,Dec,AQUA_MODIS.20101201_20101231.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20101201_20101231.L3m.MO.SST.sst.4km.nc
2011,Jan,AQUA_MODIS.20110101_20110131.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20110101_20110131.L3m.MO.SST.sst.4km.nc
2011,Feb,AQUA_MODIS.20110201_20110228.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20110201_20110228.L3m.MO.SST.sst.4km.nc
2011,Mar,AQUA_MODIS.20110301_20110331.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20110301_20110331.L3m.MO.SST.sst.4km.nc
2011,Apr,AQUA_MODIS.20110401_20110430.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20110401_20110430.L3m.MO.SST.sst.4km.nc
2011,May,AQUA_MODIS.20110501_20110531.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20110501_20110531.L3m.MO.SST.sst.4km.nc
2011,Jun,AQUA_MODIS.20110601_20110630.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20110601_20110630.L3m.MO.SST.sst.4km.nc
2011,Jul,AQUA_MODIS.20110701_20110731.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20110701_20110731.L3m.MO.SST.sst.4km.nc
