otu,taxon_level,family,genus,species,complex
Carupa_tenuipes,species,Portunidae,Carupa,Carupa tenuipes,FALSE
Dynomene_hispida,species,Dynomenidae,Dynomene,Dynomene hispida,FALSE
Tweedieia_laysani,species,Xanthidae,Tweedieia,Tweedieia laysani,FALSE
Xanthias_latifrons,species,Xanthidae,Xanthias,Xanthias latifrons,FALSE
Selwynia_sp502,morphospecies,Aphanodactylidae,Selwynia,Selwynia sp502,FALSE
Garthiella_aberrans,species,Garthiellidae,Garthiella,Garthiella aberrans,FALSE
Perinia_tumida,species,Epialtidae,Perinia,Perinia tumida,TRUE
Pilumnus_oahuensis,species,Pilumnidae,Pilumnus,Pilumnus oahuensis,FALSE
Pilumnus_taeniola,species,Pilumnidae,Pilumnus,Pilumnus taeniola,FALSE
Chlorodiella_sp2,morphospecies,Xanthidae,Chlorodiella,Chlorodiella sp2,FALSE
Olenothus_sp904,species,Xanthidae,Olenothus,Olenothus sp904,FALSE
Lambrachaeus_ramifer,species,Parthenopidae,Lambrachaeus,Lambrachaeus ramifer,FALSE
Pilumnus_acutifron,species,Pilumnidae,Pilumnus,Pilumnus acutifron,FALSE
Pilumnus_nuttingi,species,Pilumnidae,Pilumnus,Pilumnus nuttingi,FALSE
Lybia_edmondsoni,species,Xanthidae,Lybia,Lybia edmondsoni,FALSE
Platypodia_semigranosa,species,Xanthidae,Platypodia,Platypodia semigranosa,FALSE
Leucosiidae_sp595,morphospecies,Leucosiidae,,Leucosiidae sp595,FALSE
Epiactaea_nodulosa,species,Xanthidae,Epiactaea,Epiactaea nodulosa,FALSE
Thalamitoides_quadridens,species,Portunidae,Thalamitoides,Thalamitoides quadridens,FALSE
Liocarpilodes_integerrimus,species,Xanthidae,Liocarpilodes,Liocarpilodes integerrimus,FALSE
Liomera_rubra,species,Xanthidae,Liomera,Liomera rubra,FALSE
Paractaea_rufopunctata,species,Xanthidae,Paractaea,Paractaea rufopunctata,FALSE
Achaeus_sp1023,morphospecies,Inachidae,Achaeus,Achaeus sp1023,FALSE
Catoptrus_inequalis,species,Portunidae,Catoptrus,Catoptrus inequalis,FALSE
Cryptodromiopsis_tridens,species,Dromiidae,Cryptodromiopsis,Cryptodromiopsis tridens,FALSE
Exopalicus_maculatus,species,Palicidae,Exopalicus,Exopalicus maculatus,FALSE
Laleonectes_nipponensis,species,Portunidae,Laleonectes,Laleonectes nipponensis,FALSE
Leucosiidae_sp146,morphospecies,Leucosiidae,,Leucosiidae sp146,FALSE
Liomera_bella,species,Xanthidae,Liomera,Liomera bella,FALSE
Medaeus_ornatus,species,Xanthidae,Medaeus,Medaeus ornatus,FALSE
Pilodius_sp903,morphospecies,Xanthidae,Pilodius,Pilodius sp903,FALSE
Pilumnus_acutifrons,species,Pilumnidae,Pilumnus,Pilumnus acutifrons,FALSE
Pseudoliomera_variolosa,species,Xanthidae,Pseudoliomera,Pseudoliomera variolosa,FALSE
Thalamita_bevisi,species,Portunidae,Thalamita,Thalamita bevisi,FALSE
Hyastenus_sp1050,morphospecies,Epialtidae,Hyastenus,Hyastenus sp1050,FALSE
Chlorodiella_laevissima,species,Xanthidae,Chlorodiella,Chlorodiella laevissima,TRUE
Liomera_medipacifica,species,Xanthidae,Liomera,Liomera medipacifica,FALSE
Pilumnus_sp2018,morphospecies,Pilumnidae,Pilumnus,Pilumnus sp2018,FALSE
Liomera_tristis,species,Xanthidae,Liomera,Liomera tristis,FALSE
Lophozozymus_dodone,species,Xanthidae,Lophozozymus,Lophozozymus dodone,FALSE
Hyastenus_sp2074,morphospecies,Epialtidae,Hyastenus,Hyastenus sp2074,FALSE
Thalamita_seurati,species,Portunidae,Thalamita,Thalamita seurati,FALSE
Daldorfia_dimorpha,species,Parthenopidae,Daldorfia,Daldorfia dimorpha,FALSE
Pilumnus_sp2010,morphospecies,Pilumnidae,Pilumnus,Pilumnus sp2010,FALSE
Schizophroida_hilensis,species,Majidae,Schizophroida,Schizophroida hilensis,FALSE
Paramedaeus_simplex,species,Xanthidae,Paramedaeus,Paramedaeus simplex,FALSE
Heteronucia_spinifera,species,Leucosiidae,Heteronucia,Heteronucia spinifera,FALSE
Parapilumnus_sp2049,morphospecies,Acidopsidae,Parapilumnus,Parapilumnus sp2049,FALSE
Simocarcinus_simplex,species,Epialtidae,Simocarcinus,Simocarcinus simplex,FALSE
Thalamita_sp2042,morphospecies,Portunidae,Thalamita,Thalamita sp2042,FALSE
Thalamita_picta,species,Portunidae,Thalamita,Thalamita picta,FALSE
Dromiidae_sp3061,morphospecies,Dromiidae,,Dromiidae sp3061,FALSE
Percnon_abbreviatum,species,Percnidae,Percnon,Percnon abbreviatum,FALSE
Charybdis_hawaiensis,species,Portunidae,Charybdis,Charybdis hawaiensis,FALSE
Medaeus_elegans,species,Xanthidae,Medaeus,Medaeus elegans,FALSE
Schizophrys_aspera,species,Majidae,Schizophrys,Schizophrys aspera,FALSE
Xanthias_canaliculatus,species,Xanthidae,Xanthias,Xanthias canaliculatus,FALSE
Actaeomorpha_erosa,species,Aethridae,Actaeomorpha,Actaeomorpha erosa,FALSE
Lupocyclus_quinquedentatus,species,Portunidae,Lupocyclus,Lupocyclus quinquedentatus,FALSE
Soliella_flava,species,Xanthidae,Soliella,Soliella flava,FALSE
Catoptrus_inaequalis,species,Portunidae,Catoptrus,Catoptrus inaequalis,FALSE
Crossotonotus_spinipes,species,Crossotonotidae,Crossotonotus,Crossotonotus spinipes,FALSE
Cyclodius_nitidus,species,Xanthidae,Cyclodius,Cyclodius nitidus,FALSE
Zosimus_actaeoides,species,Xanthidae,Zosimus,Zosimus actaeoides,FALSE
Platypodia_sp768,morphospecies,Xanthidae,Platypodia,Platypodia sp768,FALSE
Liomera_supernodosa,species,Xanthidae,Liomera,Liomera supernodosa,FALSE
Trapezia_intermedia,species,Trapeziidae,Trapezia,Trapezia intermedia,FALSE
Huenia_heraldica,species,Epialtidae,Huenia,Huenia heraldica,FALSE
Thalamita_sp448,morphospecies,Portunidae,Thalamita,Thalamita sp448,FALSE
Menaethius_orientalis,species,Epialtidae,Menaethius,Menaethius orientalis,FALSE
Nucia_speciosa,species,Leucosiidae,Nucia,Nucia speciosa,FALSE
Gaillardiellus_superciliaris,species,Xanthidae,Gaillardiellus,Gaillardiellus superciliaris,FALSE
Juxtaxanthias_intonsus,species,Xanthidae,Juxtaxanthias,Juxtaxanthias intonsus,FALSE
Liomera_crucifera,species,Xanthidae,Liomera,Liomera crucifera,FALSE
Polydectus_cupulifer,species,Xanthidae,Polydectus,Polydectus cupulifer,FALSE
Gonioinfradens_paucidentatus,species,Portunidae,Gonioinfradens,Gonioinfradens paucidentatus,FALSE
Chlorodiella_sp3,morphospecies,Xanthidae,Chlorodiella,Chlorodiella sp3,FALSE
Chlorodiella_sp4,morphospecies,Xanthidae,Chlorodiella,Chlorodiella sp4,FALSE
Echinoecus_pentagonus,species,Pilumnidae,Echinoecus,Echinoecus pentagonus,FALSE
Platypodia_sp821,morphospecies,Xanthidae,Platypodia,Platypodia sp821,FALSE
Menaethius_monocerus,species,Epialtidae,Menaethius,Menaethius monocerus,FALSE
Pilodius_areolatus,species,Xanthidae,Pilodius,Pilodius areolatus,FALSE
Thalamita_admete,species,Portunidae,Thalamita,Thalamita admete,FALSE
Xanthidae_sp182,morphospecies,Xanthidae,,Xanthidae sp182,FALSE
Xanthias_lamarckii,species,Xanthidae,Xanthias,Xanthias lamarckii,FALSE
Actaeodes_hirsutissimus,species,Xanthidae,Actaeodes,Actaeodes hirsutissimus,FALSE
Grapsidae_sp785,morphospecies,Grapsidae,,Grapsidae sp785,FALSE
Lophozozymus_pulchellus,species,Xanthidae,Lophozozymus,Lophozozymus pulchellus,FALSE
Cryptochiridae_sp1256,morphospecies,Cryptochiridae,,Cryptochiridae sp1256,FALSE
Aethra_edentata,species,Aethridae,Aethra,Aethra edentata,FALSE
Xanthidae_sp1076,morphospecies,Xanthidae,,Xanthidae sp1076,FALSE
Palmyria_palmyrensis,species,Domeciidae,Palmyria,Palmyria palmyrensis,FALSE
Pilumnidae_sp1117,morphospecies,Pilumnidae,,Pilumnidae sp1117,FALSE
Leucosiidae_sp1165,morphospecies,Leucosiidae,,Leucosiidae sp1165,FALSE
Jacforus_cavatus,species,Xanthidae,Jacforus,Jacforus cavatus,FALSE
Xanthidae_sp1044,morphospecies,Xanthidae,,Xanthidae sp1044,FALSE
Calappidae_sp1107,morphospecies,Calappidae,,Calappidae sp1107,FALSE
Trapezia_flavopunctata,species,Trapeziidae,Trapezia,Trapezia flavopunctata,FALSE
Xanthidae_sp1105,morphospecies,Xanthidae,,Xanthidae sp1105,FALSE
Menaethius_monoceros,species,Epialtidae,Menaethius,Menaethius monoceros,FALSE
Micippa_sp1400,morphospecies,Majidae,Micippa,Micippa sp1400,FALSE
